YEAR,NFIREID,FIRECAUS,BURNCLAS,AGENCY,POLY_HA,ADJ_HA,fire_area,latitude,longitude
1986,51,Human,Full 75-100%,BC,39.9409571772,43.5743888229,39.703154080234945,49.7888080965535,-120.79456724898891
1986,52,Human,Full 75-100%,BC,103.040355497,103.040355497,102.18847206181124,50.106978201144365,-119.66720319361396
1986,53,Human,Full 75-100%,BC,15.1989975982,17.2114953483,15.116702906387491,49.71685261205373,-121.39614989270348
1986,55,Human,Full 75-100%,BC,20.3707696151,22.8088424365,20.143374612366575,50.515570079190134,-118.5271570536905
1986,64,Human,Full 75-100%,BC,22.8928424961,25.5175818141,22.78254537828774,49.63408756573584,-122.87101439522837
1986,65,Human,Full 75-100%,BC,15.8609729394,17.9316009926,15.792052858970859,49.571421428464305,-123.61894588707317
1986,66,Human,Full 75-100%,BC,31.1466491935,34.3077100295,30.83245938589748,50.36243930365522,-121.24617038399985
1986,68,Human,Full 75-100%,BC,121.867750098,121.867750098,121.68318525225148,49.196690230143844,-125.3762485992006
1986,72,Human,Full 75-100%,BC,36.1296318139,39.5691738054,35.74794127557347,50.430172763313365,-122.24167965794527
1986,73,Human,Full 75-100%,BC,12.4740473093,14.2338378721,12.264290126981672,51.34999897561344,-119.73000649971755
1986,75,Human,Full 75-100%,BC,91.5994100593,91.5994100593,90.44669878274935,50.72066113366353,-122.41391307351212
1986,76,Human,Full 75-100%,BC,650.454917096,637.193843613,637.0141198089416,51.94962063999264,-117.77293383991659
1986,79,Human,Full 75-100%,BC,2.00701712683,2.45743484255,1.982880029753575,50.639829647316056,-122.96202088789694
1986,80,Human,Full 75-100%,BC,357.582822772,358.473640195,353.2101095295681,50.66905943752641,-123.02321596639385
1986,81,Human,Full 75-100%,BC,28.6726622598,31.6836587521,28.184323747767973,51.3829523855827,-121.2208953218669
1986,83,Human,Full 75-100%,BC,19.0576690351,21.3935165261,18.680748592215267,51.8091129693002,-119.80358266397191
1986,84,Human,Full 75-100%,BC,50.623983819,54.7264396059,49.77901543616777,51.33097499041469,-121.72455526776014
1986,85,Human,Full 75-100%,BC,18.0022660957,20.2532298444,17.63883032877614,51.87402202624033,-119.85281005763552
1986,86,Human,Full 75-100%,BC,30.8675333372,34.012078559,30.254906708071015,51.820000006336215,-120.18999999991598
1986,87,Human,Full 75-100%,BC,12.3578496224,14.1063406129,12.115719023975341,51.780000007520684,-120.38000000042086
1986,88,Human,Full 75-100%,BC,37.5526113146,41.0663634602,36.74267753806971,52.094705724964015,-119.27375570872181
1986,89,Human,Full 75-100%,BC,29.2760242244,32.324396924,28.772224497896016,51.410000005917496,-121.98000000098536
